Xcoord,Ycoord
59,1
60,1
61,1
62,1
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
45,8
46,8
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
44,11
45,11
46,11
47,11
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,11
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
58,12
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,13
52,13
53,13
54,13
55,13
57,13
58,13
59,13
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
56,14
57,14
58,14
59,14
60,14
42,15
43,15
44,15
45,15
46,15
47,15
48,15
49,15
50,15
51,15
52,15
53,15
56,15
57,15
58,15
59,15
60,15
61,15
41,16
42,16
43,16
44,16
45,16
46,16
47,16
48,16
49,16
50,16
51,16
52,16
53,16
55,16
56,16
57,16
58,16
59,16
60,16
61,16
62,16
63,16
41,17
42,17
43,17
44,17
45,17
46,17
47,17
48,17
49,17
50,17
51,17
52,17
54,17
55,17
56,17
57,17
58,17
59,17
60,17
61,17
62,17
63,17
64,17
40,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,18
54,18
55,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,18
64,18
65,18
40,19
41,19
42,19
43,19
44,19
45,19
46,19
47,19
48,19
49,19
50,19
51,19
53,19
54,19
55,19
56,19
57,19
58,19
59,19
60,19
61,19
62,19
63,19
64,19
65,19
66,19
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,20
48,20
49,20
50,20
52,20
53,20
54,20
55,20
56,20
57,20
58,20
59,20
60,20
61,20
62,20
63,20
64,20
65,20
66,20
39,21
40,21
41,21
42,21
43,21
44,21
45,21
46,21
47,21
48,21
49,21
50,21
52,21
53,21
54,21
55,21
56,21
57,21
58,21
59,21
60,21
61,21
62,21
63,21
64,21
65,21
66,21
38,22
39,22
40,22
41,22
42,22
43,22
44,22
45,22
46,22
47,22
48,22
49,22
51,22
52,22
53,22
54,22
55,22
56,22
57,22
58,22
59,22
60,22
61,22
62,22
63,22
64,22
65,22
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,23
45,23
46,23
47,23
48,23
49,23
50,23
51,23
52,23
53,23
54,23
55,23
56,23
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,23
65,23
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
46,24
47,24
48,24
50,24
51,24
52,24
53,24
54,24
55,24
56,24
57,24
58,24
59,24
60,24
61,24
62,24
63,24
64,24
65,24
36,25
37,25
38,25
39,25
40,25
41,25
42,25
43,25
44,25
45,25
46,25
47,25
49,25
50,25
51,25
52,25
53,25
54,25
55,25
56,25
57,25
58,25
59,25
60,25
61,25
62,25
63,25
64,25
65,25
36,26
37,26
38,26
39,26
40,26
41,26
42,26
43,26
44,26
45,26
46,26
47,26
48,26
49,26
50,26
51,26
52,26
53,26
54,26
55,26
56,26
57,26
58,26
59,26
60,26
61,26
62,26
63,26
64,26
65,26
35,27
36,27
37,27
38,27
39,27
40,27
41,27
42,27
43,27
44,27
45,27
46,27
49,27
50,27
51,27
52,27
53,27
54,27
55,27
56,27
57,27
58,27
59,27
60,27
61,27
62,27
63,27
64,27
35,28
36,28
37,28
38,28
39,28
40,28
41,28
42,28
43,28
44,28
45,28
46,28
51,28
52,28
53,28
54,28
55,28
56,28
57,28
58,28
59,28
60,28
61,28
62,28
63,28
64,28
34,29
35,29
36,29
37,29
38,29
39,29
40,29
41,29
42,29
43,29
44,29
45,29
52,29
53,29
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
64,29
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
33,31
34,31
35,31
36,31
37,31
38,31
39,31
40,31
41,31
42,31
43,31
44,31
55,31
56,31
57,31
58,31
59,31
60,31
61,31
62,31
63,31
64,31
65,31
33,32
34,32
35,32
36,32
37,32
38,32
39,32
40,32
41,32
42,32
43,32
55,32
56,32
57,32
58,32
59,32
60,32
61,32
62,32
63,32
64,32
65,32
66,32
32,33
33,33
34,33
35,33
36,33
37,33
38,33
39,33
40,33
41,33
42,33
43,33
55,33
56,33
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,33
65,33
66,33
67,33
74,33
32,34
33,34
34,34
35,34
36,34
37,34
38,34
39,34
40,34
41,34
42,34
54,34
55,34
56,34
57,34
58,34
59,34
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,34
72,34
73,34
31,35
32,35
33,35
34,35
35,35
36,35
37,35
38,35
39,35
40,35
41,35
54,35
55,35
56,35
57,35
58,35
59,35
60,35
61,35
62,35
63,35
64,35
65,35
66,35
67,35
68,35
70,35
71,35
72,35
73,35
31,36
32,36
33,36
34,36
35,36
36,36
37,36
38,36
39,36
40,36
41,36
54,36
55,36
56,36
57,36
58,36
59,36
60,36
61,36
62,36
63,36
64,36
65,36
66,36
67,36
68,36
69,36
70,36
71,36
72,36
73,36
30,37
31,37
32,37
33,37
34,37
35,37
36,37
37,37
38,37
39,37
40,37
54,37
55,37
56,37
57,37
58,37
59,37
60,37
61,37
62,37
63,37
64,37
65,37
66,37
67,37
68,37
69,37
70,37
71,37
72,37
30,38
31,38
32,38
33,38
34,38
35,38
36,38
37,38
38,38
39,38
40,38
54,38
55,38
56,38
57,38
58,38
59,38
60,38
61,38
62,38
63,38
64,38
65,38
66,38
67,38
68,38
69,38
70,38
71,38
72,38
29,39
30,39
31,39
32,39
33,39
34,39
35,39
36,39
37,39
38,39
39,39
54,39
55,39
56,39
57,39
58,39
59,39
60,39
61,39
62,39
63,39
64,39
65,39
66,39
67,39
68,39
69,39
70,39
71,39
72,39
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,40
37,40
38,40
53,40
54,40
55,40
56,40
57,40
58,40
59,40
60,40
61,40
62,40
63,40
64,40
65,40
66,40
67,40
68,40
69,40
70,40
71,40
28,41
29,41
30,41
31,41
32,41
33,41
34,41
35,41
36,41
37,41
38,41
53,41
54,41
55,41
56,41
57,41
58,41
59,41
60,41
61,41
62,41
63,41
64,41
65,41
66,41
67,41
68,41
69,41
70,41
71,41
28,42
29,42
30,42
31,42
32,42
33,42
34,42
35,42
36,42
37,42
53,42
54,42
55,42
56,42
57,42
58,42
59,42
60,42
61,42
62,42
63,42
64,42
65,42
66,42
67,42
68,42
69,42
70,42
71,42
28,43
29,43
30,43
31,43
32,43
33,43
34,43
35,43
36,43
37,43
54,43
55,43
56,43
57,43
58,43
59,43
60,43
61,43
62,43
63,43
64,43
65,43
66,43
67,43
68,43
69,43
70,43
28,44
29,44
30,44
31,44
32,44
33,44
34,44
35,44
36,44
55,44
56,44
57,44
58,44
59,44
60,44
61,44
62,44
63,44
64,44
65,44
66,44
67,44
68,44
69,44
70,44
28,45
29,45
30,45
31,45
32,45
33,45
34,45
35,45
57,45
58,45
59,45
60,45
61,45
62,45
63,45
64,45
65,45
66,45
67,45
68,45
69,45
70,45
28,46
29,46
30,46
31,46
32,46
33,46
34,46
35,46
58,46
59,46
60,46
61,46
62,46
63,46
64,46
65,46
66,46
67,46
68,46
69,46
27,47
28,47
29,47
30,47
31,47
32,47
33,47
34,47
60,47
61,47
62,47
63,47
64,47
65,47
66,47
67,47
68,47
69,47
27,48
28,48
29,48
30,48
31,48
32,48
33,48
34,48
61,48
62,48
63,48
64,48
65,48
66,48
67,48
68,48
69,48
27,49
28,49
29,49
30,49
31,49
32,49
33,49
62,49
63,49
64,49
65,49
66,49
67,49
68,49
27,50
28,50
29,50
30,50
31,50
32,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
27,51
28,51
29,51
30,51
31,51
32,51
61,51
62,51
63,51
64,51
65,51
66,51
67,51
68,51
27,52
28,52
29,52
30,52
31,52
60,52
61,52
62,52
63,52
64,52
65,52
66,52
67,52
27,53
28,53
29,53
30,53
31,53
60,53
61,53
62,53
63,53
64,53
65,53
66,53
67,53
27,54
28,54
29,54
30,54
59,54
60,54
61,54
62,54
63,54
64,54
65,54
66,54
67,54
27,55
28,55
29,55
59,55
60,55
61,55
62,55
63,55
64,55
65,55
66,55
27,56
28,56
29,56
58,56
59,56
60,56
61,56
62,56
63,56
64,56
65,56
66,56
27,57
28,57
58,57
59,57
60,57
61,57
62,57
63,57
64,57
65,57
66,57
26,58
27,58
28,58
57,58
58,58
59,58
60,58
61,58
62,58
63,58
64,58
65,58
26,59
27,59
57,59
58,59
59,59
60,59
61,59
62,59
63,59
64,59
65,59
26,60
57,60
58,60
59,60
60,60
61,60
62,60
63,60
64,60
65,60
26,61
56,61
57,61
58,61
59,61
60,61
61,61
62,61
63,61
64,61
56,62
57,62
58,62
59,62
60,62
61,62
62,62
63,62
64,62
55,63
56,63
57,63
58,63
59,63
60,63
61,63
62,63
63,63
55,64
56,64
57,64
58,64
59,64
60,64
61,64
62,64
63,64
54,65
55,65
56,65
57,65
58,65
59,65
60,65
61,65
62,65
54,66
55,66
56,66
57,66
58,66
59,66
60,66
61,66
62,66
53,67
54,67
55,67
56,67
57,67
58,67
59,67
60,67
61,67
53,68
54,68
55,68
56,68
57,68
58,68
59,68
60,68
61,68
52,69
53,69
54,69
55,69
56,69
57,69
58,69
59,69
60,69
52,70
53,70
54,70
55,70
56,70
57,70
58,70
59,70
60,70
51,71
52,71
53,71
54,71
55,71
56,71
57,71
58,71
59,71
51,72
52,72
53,72
54,72
55,72
56,72
57,72
58,72
59,72
50,73
51,73
52,73
53,73
54,73
55,73
56,73
57,73
58,73
50,74
51,74
52,74
53,74
54,74
55,74
56,74
57,74
58,74
49,75
50,75
51,75
52,75
53,75
54,75
55,75
56,75
57,75
49,76
50,76
51,76
52,76
53,76
54,76
55,76
56,76
57,76
48,77
49,77
50,77
51,77
52,77
53,77
54,77
55,77
56,77
48,78
49,78
50,78
51,78
52,78
53,78
54,78
55,78
56,78
47,79
48,79
49,79
50,79
51,79
52,79
53,79
54,79
55,79
47,80
48,80
49,80
50,80
51,80
52,80
53,80
54,80
55,80
46,81
47,81
48,81
49,81
50,81
51,81
52,81
53,81
54,81
46,82
47,82
48,82
49,82
50,82
51,82
52,82
53,82
54,82
46,83
47,83
48,83
49,83
50,83
51,83
52,83
53,83
45,84
46,84
47,84
48,84
49,84
50,84
51,84
52,84
53,84
45,85
46,85
47,85
48,85
49,85
50,85
51,85
52,85
44,86
45,86
46,86
47,86
48,86
49,86
50,86
51,86
52,86
44,87
45,87
46,87
47,87
48,87
49,87
50,87
51,87
43,88
44,88
45,88
46,88
47,88
48,88
49,88
50,88
51,88
43,89
44,89
45,89
46,89
47,89
48,89
49,89
50,89
42,90
43,90
44,90
45,90
46,90
47,90
48,90
49,90
50,90
42,91
43,91
44,91
45,91
46,91
47,91
48,91
49,91
41,92
42,92
43,92
44,92
45,92
46,92
47,92
48,92
49,92
41,93
42,93
43,93
44,93
45,93
46,93
47,93
48,93
40,94
41,94
42,94
43,94
44,94
45,94
46,94
47,94
40,95
41,95
42,95
43,95
44,95
45,95
46,95
47,95
41,96
42,96
43,96
44,96
45,96
46,96
42,97
43,97
44,97
45,97
42,98
43,98
44,98
45,98
43,99
44,99
63,4
63,5
64,5
65,5
66,5
63,6
64,6
65,6
66,6
67,6
63,7
64,7
65,7
66,7
67,7
63,8
64,8
65,8
66,8
67,8
64,9
65,9
66,9
69,26
68,27
69,27
70,27
67,28
68,28
69,28
70,28
71,28
67,29
68,29
69,29
70,29
68,30
69,30
